vectorizer,scaler,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),passthrough,50,gini,20,5,5,sqrt,balanced,0.4823,0.0502,57,0.7686,0.0098,0.7796,0.7611,0.7815,0.7598,0.7609,6.2449,0.1337,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,20,10,5,sqrt,balanced,0.5717,0.0879,57,0.7686,0.0098,0.7796,0.7611,0.7815,0.7598,0.7609,7.2075,0.1071,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,20,10,5,sqrt,balanced,0.576,0.0099,59,0.7684,0.0094,0.7784,0.7548,0.7763,0.7597,0.7728,11.2932,0.1196,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,20,5,5,sqrt,balanced,0.6255,0.0546,59,0.7684,0.0094,0.7784,0.7548,0.7763,0.7597,0.7728,10.0315,0.0675,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,20,10,5,sqrt,balanced,0.536,0.0404,61,0.767,0.0089,0.7775,0.7601,0.7758,0.7543,0.7672,6.0244,0.203,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,20,5,5,sqrt,balanced,0.4422,0.0266,61,0.767,0.0089,0.7775,0.7601,0.7758,0.7543,0.7672,5.606,0.2526,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,20,10,5,sqrt,balanced,0.3918,0.0334,63,0.765,0.0086,0.7705,0.7586,0.7785,0.7545,0.7627,4.9437,0.3217,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,20,5,5,sqrt,balanced,0.5261,0.0309,63,0.765,0.0086,0.7705,0.7586,0.7785,0.7545,0.7627,7.5299,0.5735,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,15,5,2,sqrt,,0.3518,0.0104,65,0.7648,0.0019,0.7669,0.7622,0.7666,0.7653,0.7629,6.32,0.0673,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,15,10,2,sqrt,balanced,0.5522,0.1787,66,0.7647,0.0092,0.777,0.7612,0.7731,0.7515,0.7607,6.4706,0.3293,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,15,10,2,sqrt,,0.5279,0.0887,67,0.7644,0.0041,0.7642,0.7647,0.7687,0.7569,0.7674,5.4605,0.152,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,15,10,2,sqrt,balanced,0.5207,0.0296,68,0.7642,0.0075,0.7751,0.7572,0.7672,0.7545,0.7672,9.7827,0.0863,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,15,5,2,sqrt,balanced,0.4341,0.0672,69,0.7642,0.0091,0.7756,0.765,0.7687,0.7481,0.7634,5.2805,0.0899,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,15,5,2,sqrt,balanced,0.4768,0.0301,70,0.7641,0.0072,0.7759,0.7598,0.7689,0.7576,0.7582,7.1683,0.7708,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,15,10,2,sqrt,balanced,0.676,0.0752,71,0.7639,0.0084,0.7776,0.7569,0.7648,0.7537,0.7668,11.3934,0.0805,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,15,5,2,sqrt,,0.3328,0.0119,72,0.7635,0.0051,0.7608,0.7637,0.7709,0.7557,0.7666,5.3025,0.048,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,15,5,2,sqrt,balanced,0.7034,0.1732,73,0.7635,0.0092,0.7787,0.7517,0.7667,0.7571,0.7632,12.1919,0.1737,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,15,5,2,sqrt,balanced,0.6844,0.0813,74,0.7634,0.0081,0.7767,0.7562,0.7649,0.7535,0.7655,11.0314,0.2386,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,15,5,2,sqrt,balanced,0.6874,0.1338,75,0.7633,0.0099,0.7805,0.753,0.7603,0.7553,0.7676,9.8141,0.1338,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,15,10,2,sqrt,balanced,0.5578,0.0704,76,0.7632,0.0074,0.7734,0.7648,0.7678,0.7525,0.7574,6.817,0.1663,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,15,10,2,sqrt,balanced,0.7043,0.0584,77,0.7625,0.009,0.7763,0.7543,0.7645,0.7512,0.7663,13.4395,0.1715,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,15,10,2,sqrt,balanced,0.5604,0.1764,78,0.7625,0.0087,0.7745,0.7578,0.7668,0.7486,0.7645,6.3498,0.1455,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,15,10,2,sqrt,balanced,0.5138,0.0204,79,0.7622,0.0085,0.7741,0.7595,0.7674,0.7486,0.7616,5.2726,0.3082,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,15,10,2,sqrt,balanced,0.782,0.144,80,0.7622,0.0094,0.7784,0.7519,0.7643,0.7539,0.7624,10.6277,0.1829,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,15,10,2,sqrt,,0.2899,0.0093,81,0.7622,0.0051,0.767,0.7559,0.7691,0.758,0.7608,3.5144,0.054,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,15,10,2,sqrt,,0.5242,0.0679,82,0.762,0.0031,0.7601,0.7603,0.7681,0.7598,0.7619,8.009,0.2277,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,15,5,2,sqrt,,0.283,0.0117,83,0.762,0.0039,0.7681,0.7588,0.7651,0.7598,0.7581,3.5342,0.0572,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,15,5,2,sqrt,balanced,0.5752,0.0235,84,0.7619,0.0087,0.7765,0.7543,0.7635,0.7519,0.7635,8.1079,0.1193,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,15,5,2,sqrt,balanced,0.498,0.0347,85,0.7616,0.0079,0.7736,0.7562,0.7652,0.7505,0.7623,7.8843,0.3187,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,15,5,2,sqrt,balanced,0.3947,0.0179,86,0.7616,0.0074,0.7697,0.7648,0.7649,0.7481,0.7602,4.3674,0.0706,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,15,5,5,sqrt,,0.427,0.0283,87,0.7612,0.006,0.7582,0.7636,0.7709,0.7529,0.7603,6.9542,0.071,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,15,10,5,sqrt,,0.4512,0.0486,87,0.7612,0.006,0.7582,0.7636,0.7709,0.7529,0.7603,7.3818,0.0492,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,15,10,2,sqrt,,0.2813,0.0099,89,0.7606,0.0044,0.7651,0.7612,0.7641,0.7525,0.76,3.0099,0.0372,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,15,5,5,sqrt,balanced,0.5728,0.108,90,0.7605,0.0084,0.7729,0.7544,0.7684,0.7523,0.7545,6.1302,0.0412,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,15,10,5,sqrt,balanced,0.7165,0.08,90,0.7605,0.0084,0.7729,0.7544,0.7684,0.7523,0.7545,9.3764,0.1853,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,15,5,2,sqrt,,1.0062,0.0528,92,0.76,0.0033,0.7571,0.7595,0.7649,0.756,0.7626,12.7322,0.2896,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,15,10,2,sqrt,,0.598,0.0111,93,0.7599,0.0049,0.7567,0.7618,0.7679,0.7534,0.7597,10.6387,0.1828,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,15,5,5,sqrt,balanced,0.506,0.0734,94,0.7599,0.0083,0.7691,0.7559,0.7668,0.746,0.7616,5.0993,0.3734,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,15,10,5,sqrt,balanced,0.7315,0.1477,94,0.7599,0.0083,0.7691,0.7559,0.7668,0.746,0.7616,6.7522,0.7755,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,15,5,5,sqrt,,0.402,0.0134,96,0.7599,0.0045,0.759,0.7608,0.7657,0.7519,0.762,5.8001,0.0788,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,gini,15,10,5,sqrt,,0.4393,0.0145,96,0.7599,0.0045,0.759,0.7608,0.7657,0.7519,0.762,6.0543,0.0248,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,15,5,5,sqrt,balanced,1.1463,0.2082,98,0.7594,0.0088,0.7756,0.7514,0.7585,0.7518,0.7597,12.2847,0.4099,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,gini,15,10,5,sqrt,balanced,0.958,0.1002,98,0.7594,0.0088,0.7756,0.7514,0.7585,0.7518,0.7597,14.179,0.3089,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,15,10,5,sqrt,,0.3487,0.0103,100,0.7593,0.0074,0.7631,0.7522,0.7699,0.7496,0.7615,4.0919,0.0899,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,gini,15,5,5,sqrt,,0.3189,0.0131,100,0.7593,0.0074,0.7631,0.7522,0.7699,0.7496,0.7615,4.6797,0.3241,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,15,5,5,sqrt,balanced,0.8492,0.0713,102,0.7593,0.0083,0.7735,0.7534,0.759,0.7493,0.761,13.0025,0.147,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,15,10,5,sqrt,balanced,0.7185,0.064,102,0.7593,0.0083,0.7735,0.7534,0.759,0.7493,0.761,11.7932,0.274,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,gini,15,5,2,sqrt,,0.2745,0.0126,104,0.759,0.0047,0.7616,0.7563,0.7625,0.751,0.7634,3.3156,0.3932,"{'model__class_weight': None, 'model__criterion': 'gini', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,15,5,2,sqrt,,0.8563,0.0628,105,0.7587,0.0048,0.7603,0.7582,0.7662,0.7573,0.7515,16.0304,0.2192,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,15,10,5,sqrt,balanced,0.6886,0.1295,106,0.7586,0.0079,0.7697,0.7589,0.764,0.7471,0.7535,7.5709,0.1886,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,50,entropy,15,5,5,sqrt,balanced,0.5361,0.0477,106,0.7586,0.0079,0.7697,0.7589,0.764,0.7471,0.7535,6.7974,0.1826,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,entropy,15,10,2,sqrt,,0.9513,0.2084,108,0.7584,0.0037,0.7598,0.758,0.7647,0.7547,0.7548,13.1262,0.4247,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,15,10,5,sqrt,,0.5721,0.0852,109,0.7583,0.004,0.756,0.7593,0.7656,0.7543,0.7563,9.2815,0.1303,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,entropy,15,5,5,sqrt,,0.5358,0.0177,109,0.7583,0.004,0.756,0.7593,0.7656,0.7543,0.7563,9.6921,0.3016,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,15,5,5,sqrt,balanced,0.4844,0.0369,111,0.7581,0.0089,0.7694,0.7563,0.762,0.7424,0.7606,5.9509,0.4112,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,50,entropy,15,10,5,sqrt,balanced,0.5421,0.0972,111,0.7581,0.0089,0.7694,0.7563,0.762,0.7424,0.7606,6.3904,0.1601,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 50, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
