vectorizer,scaler,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),passthrough,entropy,7,5,5,,,0.2532,0.0184,63,0.7203,0.0033,0.7158,0.7183,0.7218,0.7199,0.7255,2.1108,0.068,"{'model__class_weight': None, 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,20,10,2,,balanced,0.238,0.0059,65,0.7194,0.005,0.7211,0.7236,0.7249,0.7157,0.7117,4.0479,0.0681,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,20,5,2,,balanced,0.2516,0.0072,66,0.7184,0.007,0.7073,0.7141,0.7222,0.7212,0.7274,5.4669,0.0502,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,20,5,2,,balanced,0.2722,0.0274,67,0.7183,0.0076,0.7207,0.7228,0.7287,0.7086,0.7107,4.2647,0.04,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,20,10,2,,balanced,0.249,0.022,68,0.7181,0.0083,0.7031,0.7165,0.7227,0.7211,0.7274,5.1988,0.0542,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,20,10,5,,balanced,0.2097,0.0492,69,0.7171,0.0076,0.7149,0.7223,0.7279,0.7054,0.7152,3.8144,0.0928,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,20,5,5,,balanced,0.2443,0.0063,69,0.7171,0.0076,0.7149,0.7223,0.7279,0.7054,0.7152,4.0456,0.0885,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,20,10,5,,balanced,0.1076,0.0114,71,0.7144,0.0071,0.7024,0.7142,0.7173,0.7138,0.7243,3.7423,0.455,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,20,5,5,,balanced,0.2312,0.0363,71,0.7144,0.0071,0.7024,0.7142,0.7173,0.7138,0.7243,4.9501,0.1112,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,15,5,2,,balanced,0.2627,0.0036,73,0.7123,0.0094,0.6984,0.7277,0.7125,0.7091,0.7141,4.4428,0.0815,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,15,10,2,,balanced,0.2571,0.0143,74,0.7114,0.0058,0.7093,0.7054,0.7224,0.7111,0.7088,3.31,0.0357,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,15,10,2,,balanced,0.2653,0.0161,75,0.711,0.0085,0.6997,0.7251,0.7117,0.7054,0.7131,4.4319,0.076,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,15,5,2,,balanced,0.2638,0.0166,76,0.7098,0.0044,0.7075,0.707,0.7186,0.7084,0.7076,3.3136,0.0439,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,15,10,5,,balanced,0.2539,0.0315,77,0.7087,0.0068,0.7039,0.7096,0.7216,0.7035,0.7051,3.2786,0.0574,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,15,5,5,,balanced,0.2525,0.0049,77,0.7087,0.0068,0.7039,0.7096,0.7216,0.7035,0.7051,3.3025,0.0463,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,15,10,5,,balanced,0.2655,0.0035,79,0.7085,0.009,0.6962,0.724,0.7073,0.7051,0.7098,4.2381,0.0602,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,15,5,5,,balanced,0.2655,0.0195,79,0.7085,0.009,0.6962,0.724,0.7073,0.7051,0.7098,4.2367,0.0444,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 15, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,7,10,2,,balanced,0.2507,0.0414,81,0.6929,0.0194,0.7162,0.6665,0.6995,0.674,0.7081,2.4693,0.0297,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,7,5,2,,balanced,0.2631,0.0127,82,0.6928,0.0196,0.716,0.6655,0.6995,0.6741,0.7086,2.4863,0.0224,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,7,5,5,,balanced,0.2508,0.0058,83,0.6923,0.0192,0.7151,0.6659,0.6989,0.6737,0.7079,2.3622,0.0421,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,entropy,7,10,5,,balanced,0.2603,0.0055,83,0.6923,0.0192,0.7151,0.6659,0.6989,0.6737,0.7079,2.3797,0.0343,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,7,5,2,,balanced,0.2437,0.0146,85,0.692,0.0068,0.6838,0.6992,0.6869,0.7009,0.6894,2.3061,0.0163,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,7,10,2,,balanced,0.2525,0.0261,86,0.692,0.0069,0.6832,0.6986,0.6868,0.7014,0.6898,2.2632,0.0299,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,7,10,5,,balanced,0.2543,0.0219,87,0.6917,0.0073,0.6816,0.699,0.6863,0.7007,0.6909,2.2291,0.0077,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,gini,7,5,5,,balanced,0.2531,0.0121,87,0.6917,0.0073,0.6816,0.699,0.6863,0.7007,0.6909,2.1928,0.0212,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,7,10,2,,balanced,0.2426,0.0079,89,0.69,0.0081,0.6809,0.6971,0.6817,0.7013,0.6892,1.6136,0.0243,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,7,5,2,,balanced,0.2555,0.0164,90,0.6898,0.0079,0.681,0.6971,0.6815,0.7003,0.6892,1.6669,0.066,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,7,10,5,,balanced,0.2432,0.0092,91,0.6895,0.0087,0.6805,0.6973,0.6791,0.701,0.6895,1.6215,0.0274,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,gini,7,5,5,,balanced,0.2452,0.0174,91,0.6895,0.0087,0.6805,0.6973,0.6791,0.701,0.6895,1.6533,0.0158,"{'model__class_weight': 'balanced', 'model__criterion': 'gini', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,7,5,2,,balanced,0.2428,0.0093,93,0.6875,0.0183,0.7169,0.6697,0.6995,0.6694,0.6818,1.7657,0.0218,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,7,10,2,,balanced,0.2449,0.0106,94,0.6874,0.0183,0.7168,0.6697,0.6996,0.6696,0.6814,1.7183,0.0128,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,7,10,5,,balanced,0.2548,0.0094,95,0.6869,0.0175,0.7152,0.6694,0.6976,0.6696,0.6826,1.6137,0.0466,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,entropy,7,5,5,,balanced,0.2661,0.0337,95,0.6869,0.0175,0.7152,0.6694,0.6976,0.6696,0.6826,1.699,0.0317,"{'model__class_weight': 'balanced', 'model__criterion': 'entropy', 'model__max_depth': 7, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
