vectorizer,scaler,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,scale_pos_weight,mean_score_time,std_score_time,rank_test_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,std_fit_time,params
TfidfVectorizer(min_df=7),passthrough,100,6,0.1,0.8,0.8,1,0.4008,0.0152,59,0.8111,0.0065,0.809,0.8063,0.816,0.8033,0.821,34.0003,0.2522,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.1,1.0,1.0,1.5,0.5756,0.0901,60,0.8105,0.0094,0.7993,0.8,0.8198,0.8118,0.8215,7.2763,0.0907,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.1,1.0,1.0,1,0.5269,0.0222,61,0.8103,0.0075,0.8069,0.8056,0.8177,0.8009,0.8206,6.737,0.0747,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.1,1.0,0.8,1,0.4382,0.0515,62,0.81,0.0054,0.8078,0.8055,0.8145,0.8041,0.818,4.7979,0.0712,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.1,1.0,1.0,1,0.5909,0.0209,63,0.8099,0.0064,0.8092,0.8045,0.8105,0.8037,0.8215,54.0104,0.5593,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.1,1.0,0.8,1,0.477,0.0252,64,0.8091,0.0073,0.8041,0.8053,0.8159,0.8007,0.8195,36.2465,0.4195,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.05,0.8,0.8,1.5,0.3639,0.0036,65,0.803,0.0079,0.7904,0.802,0.8127,0.7999,0.8102,4.2695,0.0525,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.05,0.8,1.0,1.5,0.4592,0.0305,66,0.8017,0.0064,0.7926,0.804,0.8084,0.7958,0.8079,5.5477,0.1735,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.05,0.8,0.8,1.5,0.4406,0.0533,67,0.8012,0.0085,0.7904,0.7965,0.8115,0.7967,0.811,26.0509,0.1689,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.05,1.0,1.0,1.5,0.4886,0.0131,68,0.8008,0.007,0.7897,0.8018,0.8073,0.7968,0.8085,5.5717,0.0504,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.05,1.0,0.8,1.5,0.3968,0.0119,69,0.8003,0.0089,0.7896,0.798,0.8092,0.7925,0.8121,26.3734,0.1004,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.05,1.0,0.8,1.5,0.3812,0.0342,70,0.8002,0.0093,0.7846,0.7978,0.8096,0.7991,0.8099,4.2021,0.0538,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.05,0.8,1.0,1.5,0.593,0.0205,71,0.7999,0.0071,0.7904,0.7981,0.806,0.7954,0.8098,41.6679,0.9476,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.05,1.0,1.0,1.5,0.5277,0.0355,72,0.7987,0.0068,0.7896,0.7986,0.8037,0.7932,0.8084,44.5522,0.1806,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.05,0.8,0.8,1,0.3648,0.0071,73,0.7985,0.0064,0.7943,0.7957,0.8054,0.7905,0.8066,4.167,0.0284,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.05,0.8,1.0,1,0.4828,0.0321,74,0.7981,0.0071,0.7939,0.7978,0.8035,0.7875,0.8079,5.6572,0.1405,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.05,0.8,0.8,1,0.3926,0.0079,75,0.7973,0.0072,0.7939,0.7951,0.8036,0.7867,0.8069,25.1277,0.1309,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.05,0.8,1.0,1,0.5121,0.0579,76,0.7971,0.007,0.794,0.7949,0.8026,0.7869,0.8069,37.5056,0.1405,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.05,1.0,0.8,1,0.3673,0.0066,77,0.797,0.0068,0.7932,0.7954,0.803,0.7872,0.8059,4.1323,0.0344,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.05,1.0,0.8,1,0.3957,0.0085,78,0.7954,0.0078,0.7916,0.7931,0.8008,0.7844,0.8071,25.74,0.1462,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,300,3,0.05,1.0,1.0,1,0.474,0.0214,79,0.7953,0.0065,0.7922,0.7938,0.8012,0.7856,0.8037,5.4533,0.0896,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,300,3,0.05,1.0,1.0,1,0.5132,0.0146,80,0.795,0.0058,0.7942,0.794,0.7987,0.7853,0.8027,38.2313,0.1829,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.05,0.8,0.8,1.5,0.3191,0.0049,81,0.793,0.0081,0.7804,0.7889,0.8018,0.7924,0.8017,4.623,0.0402,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.05,0.8,0.8,1.5,0.3535,0.0138,82,0.7921,0.0095,0.7802,0.7851,0.804,0.789,0.8024,35.031,0.223,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.05,1.0,0.8,1.5,0.3436,0.0469,83,0.7921,0.0105,0.7774,0.7854,0.8034,0.7896,0.8047,4.4544,0.08,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.05,1.0,0.8,1.5,0.3391,0.0039,84,0.7913,0.0095,0.7794,0.7841,0.7999,0.7885,0.8048,37.0284,0.2077,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.05,0.8,1.0,1.5,0.41,0.0132,85,0.7911,0.01,0.778,0.7863,0.7999,0.7861,0.8053,6.0869,0.0503,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.05,0.8,1.0,1.5,0.5175,0.0126,86,0.7908,0.01,0.7794,0.7855,0.8002,0.784,0.805,57.0157,0.7858,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.05,1.0,1.0,1.5,0.5031,0.0336,87,0.7904,0.0086,0.7805,0.787,0.7974,0.7838,0.8034,61.8124,0.2502,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.05,1.0,0.8,1,0.3222,0.0119,88,0.7901,0.0079,0.7834,0.7852,0.7963,0.7831,0.8027,4.3554,0.0584,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.05,0.8,0.8,1,0.3236,0.0091,89,0.7901,0.0077,0.7832,0.7849,0.7975,0.7836,0.8011,4.2821,0.0294,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.05,0.8,0.8,1,0.3482,0.0152,90,0.7898,0.0092,0.7847,0.7832,0.7971,0.7799,0.8041,34.4127,0.2991,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.05,1.0,0.8,1,0.3863,0.0477,91,0.7894,0.0097,0.786,0.7816,0.7925,0.7801,0.8068,35.9387,0.2643,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.05,1.0,1.0,1.5,0.4669,0.0083,92,0.7892,0.0101,0.7755,0.7827,0.7978,0.7864,0.8033,6.9808,0.0891,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.05,1.0,1.0,1,0.5188,0.0193,93,0.789,0.0071,0.7884,0.7829,0.7913,0.7811,0.8012,54.3491,0.191,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.1,1.0,0.8,1.5,0.7665,0.0691,94,0.7886,0.009,0.7755,0.7896,0.8,0.7817,0.7962,5.9316,0.2525,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.05,0.8,1.0,1,0.4707,0.0247,95,0.7884,0.0065,0.7836,0.7834,0.7951,0.7826,0.7975,6.8247,0.2177,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,6,0.05,1.0,1.0,1,0.4345,0.0354,96,0.7879,0.0073,0.7831,0.7835,0.7938,0.78,0.7992,6.6922,0.391,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,6,0.05,0.8,1.0,1,0.4554,0.0099,97,0.7876,0.009,0.7808,0.7812,0.7925,0.7806,0.8031,52.2633,0.347,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.1,1.0,0.8,1.5,0.5551,0.0938,98,0.7875,0.0107,0.7742,0.7832,0.801,0.7797,0.7992,20.4995,0.531,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.1,0.8,0.8,1.5,0.4697,0.0471,99,0.7873,0.0099,0.7723,0.7855,0.7983,0.7824,0.7979,3.5347,0.3999,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.1,0.8,0.8,1.5,0.7528,0.1042,100,0.7864,0.0091,0.7751,0.7813,0.7983,0.7812,0.796,22.2831,1.1991,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.1,0.8,1.0,1.5,0.4449,0.0404,101,0.7863,0.0091,0.7728,0.7862,0.7951,0.7804,0.7972,3.6234,0.1555,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.1,0.8,1.0,1.5,0.6055,0.1039,102,0.7857,0.0078,0.7761,0.7807,0.7954,0.782,0.7944,18.8372,0.2001,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.1,1.0,1.0,1.5,0.4987,0.0554,103,0.7851,0.0076,0.7731,0.7861,0.7929,0.7802,0.793,3.8766,0.1989,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.1,1.0,1.0,1.5,0.5077,0.0166,104,0.7845,0.008,0.7759,0.7836,0.7924,0.7758,0.7947,20.41,0.1566,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.1,0.8,0.8,1,0.3072,0.0072,105,0.7839,0.0097,0.7798,0.7811,0.7913,0.7695,0.7976,10.3444,0.3104,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.1,0.8,1.0,1,0.4674,0.0283,106,0.7834,0.0082,0.7786,0.7807,0.7887,0.7727,0.7962,17.8826,1.1698,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.1,1.0,0.8,1,0.5676,0.1283,107,0.7823,0.01,0.7753,0.7784,0.7899,0.7703,0.7977,13.9389,3.3183,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.1,0.8,1.0,1,0.6198,0.1038,108,0.7822,0.0069,0.7769,0.7807,0.787,0.7737,0.7927,4.8132,0.0981,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.1,1.0,1.0,1,0.4542,0.0601,109,0.7818,0.0062,0.7759,0.7808,0.7891,0.7744,0.7889,3.5428,0.0739,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.1,1.0,1.0,1,0.4331,0.0088,110,0.7817,0.0093,0.7751,0.7817,0.788,0.7688,0.7951,17.3225,0.4786,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.1,0.8,0.8,1,0.2701,0.015,111,0.7817,0.0083,0.7751,0.7792,0.7916,0.7713,0.7912,2.2232,0.0348,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.1,1.0,0.8,1,0.2962,0.0122,112,0.7816,0.0089,0.7745,0.7803,0.7917,0.7699,0.7917,2.4844,0.0802,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.05,0.8,0.8,1.5,0.2939,0.0075,113,0.7626,0.008,0.7522,0.7564,0.7729,0.7611,0.7706,10.6062,0.0661,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.05,0.8,0.8,1.5,0.2853,0.0107,114,0.7624,0.0096,0.7496,0.7596,0.7733,0.7559,0.7738,2.5311,0.1405,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.05,0.8,1.0,1.5,0.4353,0.0278,115,0.7621,0.0065,0.7527,0.7616,0.7674,0.7579,0.7708,20.1573,0.3298,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 0.8, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
CountVectorizer(min_df=7),passthrough,100,3,0.05,1.0,0.8,1.5,0.3178,0.0452,116,0.7621,0.0098,0.7475,0.7572,0.7736,0.7596,0.7725,2.3039,0.0464,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': CountVectorizer(min_df=7)}"
TfidfVectorizer(min_df=7),passthrough,100,3,0.05,1.0,0.8,1.5,0.2949,0.0062,117,0.7619,0.0077,0.7518,0.7583,0.7717,0.7577,0.7702,10.6998,0.0837,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.5, 'model__subsample': 1.0, 'preprocessing__scaler': 'passthrough', 'preprocessing__vectorizer': TfidfVectorizer(min_df=7)}"
